2019/04/01 23:11:18 nsqlookupd v0.2.16
2019/04/01 23:11:18 HTTP: listening on [::]:4161
2019/04/01 23:11:18 TCP: listening on [::]:4160
2019/04/01 23:11:18 TCP: new client(192.168.1.189:45630)
2019/04/01 23:11:18 CLIENT(192.168.1.189:45630): desired protocol 538990129
2019/04/01 23:41:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000148272s)
2019/04/01 23:41:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000022591s)
2019/04/01 23:41:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999906004s)
2019/04/01 23:41:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000086678s)
2019/04/01 23:42:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999813183s)
2019/04/01 23:42:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999983977s)
2019/04/01 23:42:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000042486s)
2019/04/01 23:42:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999956751s)
2019/04/01 23:43:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000269583s)
2019/04/01 23:43:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999985787s)
2019/04/01 23:43:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999786783s)
2019/04/01 23:43:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000235632s)
2019/04/01 23:44:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999909272s)
2019/04/01 23:44:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999815692s)
2019/04/01 23:44:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000137827s)
2019/04/01 23:44:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999867028s)
2019/04/01 23:45:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000000088s)
2019/04/01 23:45:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000168626s)
2019/04/01 23:45:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999880491s)
2019/04/01 23:45:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000030579s)
2019/04/01 23:46:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.00020349s)
2019/04/01 23:46:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999690399s)
2019/04/01 23:46:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000068287s)
2019/04/01 23:46:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000000524s)
2019/04/01 23:47:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999955211s)
2019/04/01 23:47:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000052335s)
2019/04/01 23:47:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999970014s)
2019/04/01 23:47:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000235214s)
2019/04/01 23:48:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000008464s)
2019/04/01 23:48:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999841466s)
2019/04/01 23:48:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000161048s)
2019/04/01 23:48:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999736223s)
2019/04/01 23:49:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.00008213s)
2019/04/01 23:49:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999908488s)
2019/04/01 23:49:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000048258s)
2019/04/01 23:49:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000136785s)
2019/04/01 23:50:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999874319s)
2019/04/01 23:50:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.99990922s)
2019/04/01 23:50:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000291099s)
2019/04/01 23:50:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999768593s)
2019/04/01 23:51:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000101825s)
2019/04/01 23:51:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999913145s)
2019/04/01 23:51:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.00001104s)
2019/04/01 23:51:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.00003594s)
2019/04/01 23:52:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999939604s)
2019/04/01 23:52:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999975618s)
2019/04/01 23:52:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.0000634s)
2019/04/01 23:52:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000205912s)
2019/04/01 23:53:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999840546s)
2019/04/01 23:53:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999933653s)
2019/04/01 23:53:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000144827s)
2019/04/01 23:53:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999863627s)
2019/04/01 23:54:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000102095s)
2019/04/01 23:54:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999839504s)
2019/04/01 23:54:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.00004866s)
2019/04/01 23:54:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000133073s)
2019/04/01 23:55:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999788751s)
2019/04/01 23:55:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000109793s)
2019/04/01 23:55:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999964492s)
2019/04/01 23:55:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999966016s)
2019/04/01 23:56:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000146738s)
2019/04/01 23:56:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999845877s)
2019/04/01 23:56:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000150766s)
2019/04/01 23:56:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999855994s)
2019/04/01 23:57:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000014206s)
2019/04/01 23:57:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999997216s)
2019/04/01 23:57:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000163298s)
2019/04/01 23:57:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999819837s)
2019/04/01 23:58:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000055773s)
2019/04/01 23:58:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000002008s)
2019/04/01 23:58:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999869027s)
2019/04/01 23:58:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.00017771s)
2019/04/01 23:59:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999950347s)
2019/04/01 23:59:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000018697s)
2019/04/01 23:59:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000110206s)
2019/04/01 23:59:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999927755s)
2019/04/02 00:00:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.00014782s)
2019/04/02 00:00:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000019168s)
2019/04/02 00:00:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999992999s)
2019/04/02 00:00:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999981704s)
2019/04/02 00:01:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999755604s)
2019/04/02 00:01:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999996289s)
2019/04/02 00:01:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999992289s)
2019/04/02 00:01:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999999826s)
2019/04/02 00:02:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000009397s)
2019/04/02 00:02:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000268715s)
2019/04/02 00:02:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000021182s)
2019/04/02 00:02:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999717839s)
2019/04/02 00:03:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999983592s)
2019/04/02 00:03:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000132784s)
2019/04/02 00:03:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.9998797s)
2019/04/02 00:03:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000075903s)
2019/04/02 00:04:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000132997s)
2019/04/02 00:04:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999739058s)
2019/04/02 00:04:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000042763s)
2019/04/02 00:04:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000035601s)
2019/04/02 00:05:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.9999587s)
