2021/07/07 19:39:16 nsqlookupd v0.2.16
2021/07/07 19:39:16 HTTP: listening on [::]:4161
2021/07/07 20:21:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000058838s)
2021/07/07 20:21:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999986972s)
2021/07/07 20:22:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999957663s)
2021/07/07 20:22:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000008447s)
2021/07/07 20:22:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000049925s)
2021/07/07 20:22:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999961386s)
2021/07/07 20:23:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000013124s)
2021/07/07 20:23:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000008519s)
2021/07/07 20:23:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000003853s)
2021/07/07 20:23:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.99999368s)
2021/07/07 20:24:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999983655s)
2021/07/07 20:24:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000052461s)
2021/07/07 20:24:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999952159s)
2021/07/07 20:24:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999979676s)
2021/07/07 20:25:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000029882s)
2021/07/07 20:25:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000005486s)
2021/07/07 20:25:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999957657s)
2021/07/07 20:25:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000011855s)
2021/07/07 20:26:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000002843s)
2021/07/07 20:26:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000001676s)
2021/07/07 20:26:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000072358s)
2021/07/07 20:26:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.9999456s)
2021/07/07 20:27:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.99999727s)
2021/07/07 20:27:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999968842s)
2021/07/07 20:27:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.00000103s)
2021/07/07 20:27:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000033257s)
2021/07/07 20:28:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000010639s)
2021/07/07 20:28:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999972016s)
